Clase de población;Características demográficas teletrabajo;Disponibilidad teletrabajo;Total
Personas ocupadas;Tipo de hogar: Otro tipo de hogar;Personas que su trabajo principal le permitiría teletrabajar totalmente;13,8
Personas ocupadas;Tipo de hogar: Otro tipo de hogar;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;9,1
Personas ocupadas;Tipo de hogar: Otro tipo de hogar;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;4,6
Personas ocupadas;Tipo de hogar: Otro tipo de hogar;Personas que su trabajo principal le permitiría teletrabajar parcialmente;13,2
Personas ocupadas;Tipo de hogar: Otro tipo de hogar;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;4,2
Personas ocupadas;Tipo de hogar: Otro tipo de hogar;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;9
Personas ocupadas;Tipo de hogar: Otro tipo de hogar;Personas que su trabajo principal no le permite teletrabajar;73
Personas ocupadas;Convivencia en pareja: Conviviendo con su cónyuge;Total;9.436.447
Personas ocupadas;Convivencia en pareja: Conviviendo con su cónyuge;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;35
Personas ocupadas;Convivencia en pareja: Conviviendo con su cónyuge;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;17,9
Personas ocupadas;Convivencia en pareja: Conviviendo con su cónyuge;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;17,1
Personas ocupadas;Convivencia en pareja: Conviviendo con su cónyuge;Personas que su trabajo principal le permitiría teletrabajar totalmente;17,1
Personas ocupadas;Convivencia en pareja: Conviviendo con su cónyuge;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;11,8
Personas ocupadas;Convivencia en pareja: Conviviendo con su cónyuge;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;5,3
Personas ocupadas;Convivencia en pareja: Conviviendo con su cónyuge;Personas que su trabajo principal le permitiría teletrabajar parcialmente;17,9
Personas ocupadas;Convivencia en pareja: Conviviendo con su cónyuge;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;6
Personas ocupadas;Convivencia en pareja: Conviviendo con su cónyuge;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;11,9
Personas ocupadas;Convivencia en pareja: Conviviendo con su cónyuge;Personas que su trabajo principal no le permite teletrabajar;65
Personas ocupadas;Convivencia en pareja: Conviviendo con una pareja de hecho;Total;2.354.011
Personas ocupadas;Convivencia en pareja: Conviviendo con una pareja de hecho;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;42,5
Personas ocupadas;Convivencia en pareja: Conviviendo con una pareja de hecho;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;22,2
Personas ocupadas;Convivencia en pareja: Conviviendo con una pareja de hecho;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;20,4
Personas ocupadas;Convivencia en pareja: Conviviendo con una pareja de hecho;Personas que su trabajo principal le permitiría teletrabajar totalmente;22,2
Personas ocupadas;Convivencia en pareja: Conviviendo con una pareja de hecho;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;15,8
Personas ocupadas;Convivencia en pareja: Conviviendo con una pareja de hecho;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;6,3
Personas ocupadas;Convivencia en pareja: Conviviendo con una pareja de hecho;Personas que su trabajo principal le permitiría teletrabajar parcialmente;20,3
Personas ocupadas;Convivencia en pareja: Conviviendo con una pareja de hecho;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;6,3
Personas ocupadas;Convivencia en pareja: Conviviendo con una pareja de hecho;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;14
Personas ocupadas;Convivencia en pareja: Conviviendo con una pareja de hecho;Personas que su trabajo principal no le permite teletrabajar;57,5
Personas ocupadas;Convivencia en pareja: No convive en pareja;Total;6.912.870
Personas ocupadas;Convivencia en pareja: No convive en pareja;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente;32,4
Personas ocupadas;Convivencia en pareja: No convive en pareja;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y han teletrabajado;15,5
Personas ocupadas;Convivencia en pareja: No convive en pareja;Personas que su trabajo principal le permitiría teletrabajar total o parcialmente y no han teletrabajado;16,9
Personas ocupadas;Convivencia en pareja: No convive en pareja;Personas que su trabajo principal le permitiría teletrabajar totalmente;16,9
Personas ocupadas;Convivencia en pareja: No convive en pareja;Personas que su trabajo principal le permitiría teletrabajar totalmente y han teletrabajado;11,6
Personas ocupadas;Convivencia en pareja: No convive en pareja;Personas que su trabajo principal le permitiría teletrabajar totalmente y no han teletrabajado;5,4
Personas ocupadas;Convivencia en pareja: No convive en pareja;Personas que su trabajo principal le permitiría teletrabajar parcialmente;15,5
Personas ocupadas;Convivencia en pareja: No convive en pareja;Personas que su trabajo principal le permitiría teletrabajar parcialmente y han teletrabajado;4
Personas ocupadas;Convivencia en pareja: No convive en pareja;Personas que su trabajo principal le permitiría teletrabajar parcialmente y no han teletrabajado;11,5
Personas ocupadas;Convivencia en pareja: No convive en pareja;Personas que su trabajo principal no le permite teletrabajar;67,6
