Comunidades y ciudades autónomas;Principales variables;Agrupación de actividad;Total
Cataluña;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;74,19
Cataluña;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;56,21
Cataluña;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;77,1
Cataluña;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;70,46
Cataluña;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;71,32
Cataluña;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;47,05
Cataluña;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;74,76
Cataluña;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;47,81
Cataluña;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;42,3
Cataluña;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;33,4
Cataluña;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;53,08
Cataluña;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;21,58
Cataluña;D.13 % de empleados que teletrabajan regularmente(3);Industria;16,22
Cataluña;D.13 % de empleados que teletrabajan regularmente(3);Construcción;4,87
Cataluña;D.13 % de empleados que teletrabajan regularmente(3);Servicios;25,6
Cataluña;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,3
Cataluña;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,03
Cataluña;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;2,14
Cataluña;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,42
Comunitat Valenciana;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;87,86
Comunitat Valenciana;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;90,59
Comunitat Valenciana;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;81,96
Comunitat Valenciana;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;87,87
Comunitat Valenciana;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;74,82
Comunitat Valenciana;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;76,87
Comunitat Valenciana;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;65,69
Comunitat Valenciana;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;76,33
Comunitat Valenciana;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;68,21
Comunitat Valenciana;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;67,76
Comunitat Valenciana;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;60,55
Comunitat Valenciana;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;70,95
Comunitat Valenciana;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;54,6
Comunitat Valenciana;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;55,88
Comunitat Valenciana;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;28,82
Comunitat Valenciana;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;61,91
Comunitat Valenciana;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;30,71
Comunitat Valenciana;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;28,81
Comunitat Valenciana;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;13,89
Comunitat Valenciana;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;37,32
Comunitat Valenciana;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;7,55
Comunitat Valenciana;D.13 % de empleados que teletrabajan regularmente(3);Industria;6,93
Comunitat Valenciana;D.13 % de empleados que teletrabajan regularmente(3);Construcción;2,28
Comunitat Valenciana;D.13 % de empleados que teletrabajan regularmente(3);Servicios;8,52
Comunitat Valenciana;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,31
Comunitat Valenciana;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;1,95
Comunitat Valenciana;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;2,85
Comunitat Valenciana;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,44
Extremadura;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;84,22
Extremadura;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;73,86
Extremadura;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;76,16
Extremadura;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;91,67
Extremadura;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;69,98
Extremadura;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;61,24
Extremadura;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;64,87
Extremadura;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;75,61
Extremadura;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;53,68
Extremadura;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;55,11
Extremadura;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;44,36
Extremadura;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;56,71
Extremadura;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;41,35
Extremadura;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;42,82
Extremadura;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;32,11
Extremadura;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;44,33
Extremadura;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;21,15
Extremadura;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;20,78
Extremadura;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;15,65
Extremadura;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;23,47
Extremadura;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;3,33
Extremadura;D.13 % de empleados que teletrabajan regularmente(3);Industria;3,32
Extremadura;D.13 % de empleados que teletrabajan regularmente(3);Construcción;1,89
Extremadura;D.13 % de empleados que teletrabajan regularmente(3);Servicios;3,63
Extremadura;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;1,97
Extremadura;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,44
Extremadura;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;1,7
Extremadura;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;1,86
Galicia;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;86,8
Galicia;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;84,74
Galicia;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;89,91
Galicia;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;86,86
Galicia;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;75,61
Galicia;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;76,93
Galicia;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;80,3
Galicia;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;73,43
Galicia;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;68,74
Galicia;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;68,13
Galicia;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;67,06
Galicia;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;69,59
Galicia;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;57,91
Galicia;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;53,53
Galicia;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;55,08
Galicia;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;61,08
Galicia;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;34,05
Galicia;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;27,25
Galicia;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;32,04
Galicia;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;38,17
Galicia;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;10,91
Galicia;D.13 % de empleados que teletrabajan regularmente(3);Industria;6,08
Galicia;D.13 % de empleados que teletrabajan regularmente(3);Construcción;4,5
Galicia;D.13 % de empleados que teletrabajan regularmente(3);Servicios;14,56
Galicia;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,19
Galicia;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,35
Galicia;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;1,74
Galicia;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,26
Madrid, Comunidad de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;89,77
Madrid, Comunidad de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;88,6
Madrid, Comunidad de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;85,3
Madrid, Comunidad de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;90,96
Madrid, Comunidad de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;82,05
Madrid, Comunidad de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;77,96
Madrid, Comunidad de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;74,02
Madrid, Comunidad de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;84,59
Madrid, Comunidad de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;77,56
Madrid, Comunidad de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;67,42
Madrid, Comunidad de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;71,24
Madrid, Comunidad de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;81,01
Madrid, Comunidad de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;69,56
Madrid, Comunidad de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;59,75
Madrid, Comunidad de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;56,3
Madrid, Comunidad de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;74,4
Madrid, Comunidad de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;52,25
Madrid, Comunidad de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;36,71
Madrid, Comunidad de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;39,41
Madrid, Comunidad de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;58,18
Madrid, Comunidad de;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;33,78
Madrid, Comunidad de;D.13 % de empleados que teletrabajan regularmente(3);Industria;23,93
Madrid, Comunidad de;D.13 % de empleados que teletrabajan regularmente(3);Construcción;11,64
Madrid, Comunidad de;D.13 % de empleados que teletrabajan regularmente(3);Servicios;37,44
Madrid, Comunidad de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,6
Madrid, Comunidad de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,31
Madrid, Comunidad de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;2,47
Madrid, Comunidad de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,66
Murcia, Región de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;81,7
Murcia, Región de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;79,93
Murcia, Región de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;89,12
Murcia, Región de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;80,29
Murcia, Región de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;70,42
Murcia, Región de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;65,66
Murcia, Región de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;75,61
Murcia, Región de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;71,56
Murcia, Región de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;63,99
Murcia, Región de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;59,82
Murcia, Región de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;64,58
Murcia, Región de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;66,31
Murcia, Región de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;49,84
Murcia, Región de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;45,4
Murcia, Región de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;46,53
Murcia, Región de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;53,64
Murcia, Región de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;29,41
Murcia, Región de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;26,21
Murcia, Región de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;23,74
Murcia, Región de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;33,28
Murcia, Región de;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;5,37
Murcia, Región de;D.13 % de empleados que teletrabajan regularmente(3);Industria;5,33
Murcia, Región de;D.13 % de empleados que teletrabajan regularmente(3);Construcción;6,15
Murcia, Región de;D.13 % de empleados que teletrabajan regularmente(3);Servicios;5,28
Murcia, Región de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,25
Murcia, Región de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,29
Murcia, Región de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;3,05
Murcia, Región de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,04
Navarra, Comunidad Foral de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;86,65
Navarra, Comunidad Foral de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;90,34
Navarra, Comunidad Foral de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;84,94
Navarra, Comunidad Foral de;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;83,85
Navarra, Comunidad Foral de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;77,74
Navarra, Comunidad Foral de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;81,45
Navarra, Comunidad Foral de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;67,07
Navarra, Comunidad Foral de;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;77,54
Navarra, Comunidad Foral de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;67,02
Navarra, Comunidad Foral de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;76,77
Navarra, Comunidad Foral de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;47,65
Navarra, Comunidad Foral de;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;63,99
Navarra, Comunidad Foral de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;58,48
Navarra, Comunidad Foral de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;74,19
Navarra, Comunidad Foral de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;41,52
Navarra, Comunidad Foral de;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;49,42
Navarra, Comunidad Foral de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;33,07
Navarra, Comunidad Foral de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;37,05
Navarra, Comunidad Foral de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;21,66
Navarra, Comunidad Foral de;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;32,83
Navarra, Comunidad Foral de;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;13,4
Navarra, Comunidad Foral de;D.13 % de empleados que teletrabajan regularmente(3);Industria;11,36
Navarra, Comunidad Foral de;D.13 % de empleados que teletrabajan regularmente(3);Construcción;2,05
Navarra, Comunidad Foral de;D.13 % de empleados que teletrabajan regularmente(3);Servicios;19,39
Navarra, Comunidad Foral de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;1,78
Navarra, Comunidad Foral de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;1,64
Navarra, Comunidad Foral de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;1,72
Navarra, Comunidad Foral de;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;1,94
País Vasco;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;90,9
País Vasco;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;94,1
País Vasco;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;87,71
País Vasco;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;89,12
País Vasco;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;80,51
País Vasco;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;81,34
País Vasco;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;85,73
País Vasco;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;78,68
País Vasco;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;72,17
País Vasco;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;74,38
País Vasco;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;64,74
País Vasco;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;72,11
País Vasco;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;68,08
País Vasco;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;71,19
País Vasco;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;51,97
País Vasco;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;69,27
País Vasco;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;38,61
País Vasco;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;37,33
País Vasco;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;29,88
País Vasco;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;41,56
País Vasco;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;14,93
País Vasco;D.13 % de empleados que teletrabajan regularmente(3);Industria;9,5
País Vasco;D.13 % de empleados que teletrabajan regularmente(3);Construcción;6,11
País Vasco;D.13 % de empleados que teletrabajan regularmente(3);Servicios;21,43
País Vasco;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,01
País Vasco;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;1,72
País Vasco;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;1,54
País Vasco;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;2,29
Rioja, La;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;86,22
Rioja, La;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;89,29
Rioja, La;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;68,97
Rioja, La;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;88,58
Rioja, La;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;68,56
Rioja, La;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;65,23
Rioja, La;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;56,92
Rioja, La;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;76
Rioja, La;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;63,45
Rioja, La;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;60,43
Rioja, La;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;51,74
Rioja, La;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;70,58
Rioja, La;D.11 % de empresas que llevan a cabo reuniones remotas (1);Total Empresas;50,17
Rioja, La;D.11 % de empresas que llevan a cabo reuniones remotas (1);Industria;47,52
Rioja, La;D.11 % de empresas que llevan a cabo reuniones remotas (1);Construcción;38,07
Rioja, La;D.11 % de empresas que llevan a cabo reuniones remotas (1);Servicios;57,02
Rioja, La;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Total Empresas;24,83
Rioja, La;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Industria;19,55
Rioja, La;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Construcción;32,89
Rioja, La;D.12 % de empresas que permiten la realización de teletrabajo por parte de sus empleados (0);Servicios;27,86
Rioja, La;D.13 % de empleados que teletrabajan regularmente(3);Total Empresas;5,04
Rioja, La;D.13 % de empleados que teletrabajan regularmente(3);Industria;3,91
Rioja, La;D.13 % de empleados que teletrabajan regularmente(3);Construcción;3,49
Rioja, La;D.13 % de empleados que teletrabajan regularmente(3);Servicios;6,63
Rioja, La;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Total Empresas;2,33
Rioja, La;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Industria;2,9
Rioja, La;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Construcción;2,14
Rioja, La;D.14 Número de días en término medio por semana en que los trabajadores teletrabajan(2);Servicios;1,98
Ceuta;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Total Empresas;95,22
Ceuta;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Industria;100
Ceuta;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Construcción;100
Ceuta;D.10.A % de empresas en las cuales algún empleado tiene acceso remoto al sistema de correo electrónico de la empresa (1);Servicios;93,1
Ceuta;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Total Empresas;92,82
Ceuta;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Industria;100
Ceuta;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Construcción;100
Ceuta;D.10.B % de empresas en las cuales algún empleado tiene acceso remoto a documentos de la empresa (1);Servicios;89,66
Ceuta;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Total Empresas;84,21
Ceuta;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Industria;100
Ceuta;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Construcción;84,21
Ceuta;D.10.C % de empresas en las cuales algún empleado tiene acceso remoto a las aplicaciones comerciales o software de la empresa (1);Servicios;81,38
